product_id,product_name,category,subcategory,brand,cost_price,selling_price,discount_percent,discounted_price,currency,stock_quantity,in_stock,low_stock_alert,avg_rating,num_ratings,num_reviews,weight_kg,dimensions,condition,warranty_months,manufacturer,country_of_origin,product_added_date,last_updated_date,is_featured,is_bestseller,free_shipping,returnable,return_window_days,tags,sku,barcode,supplier_id,reorder_level,max_order_quantity
PROD-63269,Britannia Vision-oriented multi-tasking ability Dairy,grocery,dairy,Britannia,1820,2767.91,0,2767.91,INR,10,True,False,3.9,3475,831,14.64,81x94x50 cm,new,0,Britannia,Netherlands Antilles,2025-05-19,2025-06-25,True,False,True,True,30,"grocery,dairy,Britannia,new_arrival",SKU-161324,5701543039117,SUP-9883,10,5
PROD-51104,OnePlus Upgradable mobile architecture Smartphones,electronics,smartphones,OnePlus,136819,264814.5,10,238333.05,INR,91,True,False,3.1,1936,349,18.84,82x41x42 cm,new,36,OnePlus,Senegal,2025-09-07,2025-10-30,False,False,True,True,30,"electronics,smartphones,OnePlus,on_sale,new_arrival",SKU-373432,8227824896387,SUP-4346,10,20
PROD-41285,HarperCollins Versatile upward-trending solution Comics,books,comics,HarperCollins,1475,2531.69,5,2405.11,INR,284,True,False,3.2,4414,629,5.38,54x18x20 cm,new,0,HarperCollins,Cook Islands,2025-06-21,2025-08-16,False,False,True,True,30,"books,comics,HarperCollins,on_sale,new_arrival",SKU-741390,4657871331502,SUP-9666,10,5
PROD-97538,Bosch Reverse-engineered neutral emulation Tools,automotive,tools,Bosch,9300,13127.63,20,10502.1,INR,19,True,False,3.7,2172,436,5.1,16x21x45 cm,new,12,Bosch,Namibia,2025-10-15,2025-10-15,False,False,True,True,30,"automotive,tools,Bosch,on_sale,new_arrival",SKU-908577,3010310518345,SUP-3143,10,20
PROD-31178,HUL Synchronized mobile data-warehouse Frozen,grocery,frozen,HUL,925,1525.07,0,1525.07,INR,68,True,False,3.3,1054,114,7.36,15x55x18 cm,new,0,HUL,Mauritius,2024-01-17,2024-01-30,False,False,True,True,30,"grocery,frozen,HUL,new_arrival",SKU-918011,2997376311657,SUP-7658,10,100
PROD-30257,Adidas Optimized incremental Local Area Network Outdoor,sports,outdoor,Adidas,14010,17089.81,15,14526.34,INR,460,True,False,3.5,1314,338,2.25,14x70x19 cm,new,0,Adidas,Tonga,2024-08-15,2024-09-28,False,False,True,True,30,"sports,outdoor,Adidas,on_sale,new_arrival",SKU-960394,0106513338729,SUP-4728,10,10
PROD-13101,Reebok Optimized contextually-based focus group Yoga,sports,yoga,Reebok,9629,18213.08,30,12749.16,INR,378,True,False,4.7,2722,783,2.4,43x32x42 cm,used,0,Reebok,Kyrgyz Republic,2025-03-03,2025-03-07,True,True,True,False,0,"sports,yoga,Reebok,on_sale,bestseller",SKU-725550,3178108013264,SUP-8119,10,20
PROD-51114,Hot Wheels Pre-emptive mission-critical data-warehouse Outdoor Toys,toys,outdoor_toys,Hot Wheels,2094,3158.08,10,2842.27,INR,12,True,False,4.6,1624,280,1.49,95x52x44 cm,new,0,Hot Wheels,Tonga,2025-07-25,2025-09-01,False,True,True,True,30,"toys,outdoor_toys,Hot Wheels,on_sale,bestseller,new_arrival",SKU-799287,6026064746870,SUP-7691,10,20
PROD-62743,HarperCollins Distributed content-based frame Magazines,books,magazines,HarperCollins,492,755.89,20,604.71,INR,49,True,False,3.0,2360,335,15.74,87x93x25 cm,new,0,HarperCollins,Cuba,2024-09-03,2024-11-28,True,False,True,True,30,"books,magazines,HarperCollins,on_sale,new_arrival",SKU-636004,0980500978828,SUP-8752,10,10
PROD-96356,Levis Centralized multimedia artificial intelligence Kids Wear,clothing,kids_wear,Levis,1065,1975.3,15,1679.0,INR,5,True,True,3.5,3902,867,15.39,68x63x45 cm,new,0,Levis,Thailand,2023-12-17,2024-02-04,False,False,True,True,30,"clothing,kids_wear,Levis,on_sale,new_arrival",SKU-519066,2191361939905,SUP-4997,10,10
PROD-95990,Lenovo Secured attitude-oriented instruction set Smartphones,electronics,smartphones,Lenovo,62367,83616.02,30,58531.21,INR,75,True,False,,0,0,2.52,27x69x47 cm,new,36,Lenovo,Palestinian Territory,2024-03-30,2024-05-09,False,False,True,True,30,"electronics,smartphones,Lenovo,on_sale,new_arrival",SKU-742412,9985435346248,SUP-9270,10,50
PROD-81810,HUL Persevering foreground system engine Snacks,grocery,snacks,HUL,1814,2865.65,0,2865.65,INR,191,True,False,4.3,2259,424,14.3,40x44x26 cm,new,0,HUL,Vietnam,2024-05-25,2024-06-04,True,False,True,True,30,"grocery,snacks,HUL,new_arrival",SKU-258157,1079911838421,SUP-4788,10,50
PROD-30028,Puma Monitored asymmetric encryption Fitness,sports,fitness,Puma,13856,20294.95,5,19280.2,INR,23,True,False,,0,0,11.72,99x12x41 cm,new,0,Puma,Heard Island and McDonald Islands,2025-11-23,2026-01-07,False,False,True,True,30,"sports,fitness,Puma,on_sale,new_arrival",SKU-890075,4278498084123,SUP-7389,10,50
PROD-80545,3M Fundamental bifurcated benchmark Electronics,automotive,electronics,3M,32496,44699.46,5,42464.49,INR,222,True,False,4.4,3838,1089,19.62,78x13x30 cm,new,0,3M,Samoa,2025-09-05,2025-11-26,False,False,True,True,30,"automotive,electronics,3M,on_sale,new_arrival",SKU-242291,8244935348741,SUP-8564,10,10
PROD-16590,Oxford Business-focused background productivity Comics,books,comics,Oxford,533,833.48,5,791.81,INR,435,True,False,4.7,3862,401,10.83,54x38x46 cm,new,0,Oxford,Jamaica,2024-02-01,2024-02-06,True,True,True,True,30,"books,comics,Oxford,on_sale,bestseller,new_arrival",SKU-359295,4005242786800,SUP-4266,10,5
PROD-91439,Urban Ladder Customizable asynchronous solution Kitchen,home,kitchen,Urban Ladder,31535,54731.11,10,49258.0,INR,39,True,False,4.2,948,242,3.36,49x23x42 cm,new,12,Urban Ladder,United Kingdom,2024-04-19,2024-07-14,False,False,True,True,30,"home,kitchen,Urban Ladder,on_sale,new_arrival",SKU-515922,2805982620455,SUP-4249,10,5
PROD-87607,Cosco Balanced heuristic database Fitness,sports,fitness,Cosco,10382,19520.6,10,17568.54,INR,0,False,False,4.3,574,115,6.89,63x72x11 cm,new,0,Cosco,Pitcairn Islands,2024-11-24,2025-02-13,False,False,True,True,30,"sports,fitness,Cosco,on_sale,new_arrival",SKU-841666,3158692322607,SUP-3506,10,50
PROD-33086,Castrol Enhanced user-facing groupware Tools,automotive,tools,Castrol,35769,65089.32,5,61834.85,INR,215,True,False,,0,0,1.82,67x41x34 cm,new,24,Castrol,Slovenia,2024-12-20,2024-12-23,False,False,True,True,30,"automotive,tools,Castrol,on_sale,new_arrival",SKU-992288,6342160733751,SUP-6325,10,10
PROD-73904,Reebok Integrated discrete definition Cycling,sports,cycling,Reebok,11652,16589.26,10,14930.33,INR,55,True,False,3.5,3339,660,15.19,98x70x46 cm,new,0,Reebok,Anguilla,2024-08-28,2024-08-30,True,False,True,True,30,"sports,cycling,Reebok,on_sale,new_arrival",SKU-408528,3654145868505,SUP-4630,10,50
PROD-41890,Oxford Customizable empowering conglomeration Magazines,books,magazines,Oxford,1069,1756.13,5,1668.32,INR,230,True,False,3.5,998,243,6.38,78x98x16 cm,new,0,Oxford,Mozambique,2024-07-22,2024-08-26,False,False,True,True,30,"books,magazines,Oxford,on_sale,new_arrival",SKU-205409,4019655698162,SUP-4180,10,20
PROD-39816,Lakme Re-engineered content-based extranet Makeup,beauty,makeup,Lakme,265,468.1,0,468.1,INR,13,True,False,,0,0,12.79,72x23x5 cm,new,0,Lakme,Aruba,2024-08-06,2024-10-06,False,False,False,True,30,"beauty,makeup,Lakme,new_arrival",SKU-457256,6088356159515,SUP-4020,10,5
PROD-43092,Nestle Up-sized exuding middleware Staples,grocery,staples,Nestle,870,1386.26,10,1247.63,INR,126,True,False,,0,0,1.8,41x25x40 cm,new,0,Nestle,Georgia,2024-03-19,2024-06-03,True,False,True,True,30,"grocery,staples,Nestle,on_sale,new_arrival",SKU-913373,6564823662998,SUP-9561,10,50
PROD-69049,ITC Innovative impactful neural-net Beverages,grocery,beverages,ITC,928,1340.31,10,1206.28,INR,16,True,False,4.3,1296,191,11.08,30x10x31 cm,new,0,ITC,Syrian Arab Republic,2024-03-31,2024-05-30,False,False,True,True,30,"grocery,beverages,ITC,on_sale,new_arrival",SKU-134225,0443699577734,SUP-4792,10,20
PROD-47056,HUL Profound methodical utilization Staples,grocery,staples,HUL,528,1023.86,15,870.28,INR,10,True,False,3.3,2186,580,1.52,31x49x43 cm,new,0,HUL,United Arab Emirates,2024-04-26,2024-06-01,False,False,True,True,30,"grocery,staples,HUL,on_sale,new_arrival",SKU-230394,2148951343321,SUP-8679,10,20
PROD-62757,Scholastic Assimilated 6thgeneration encryption Magazines,books,magazines,Scholastic,1111,1722.28,10,1550.05,INR,30,True,False,4.9,4722,1026,0.51,96x44x41 cm,new,0,Scholastic,Lebanon,2025-06-03,2025-08-02,False,True,True,True,30,"books,magazines,Scholastic,on_sale,bestseller,new_arrival",SKU-391668,9176936763201,SUP-3973,10,100
PROD-67132,Amul Versatile zero administration benchmark Staples,grocery,staples,Amul,762,1163.33,5,1105.16,INR,20,True,False,4.3,3290,864,11.05,68x21x25 cm,new,0,Amul,Slovakia (Slovak Republic),2025-08-03,2025-09-23,True,False,True,True,30,"grocery,staples,Amul,on_sale,new_arrival",SKU-789606,6328708317270,SUP-9889,10,50
PROD-64165,Xiaomi Synchronized multi-tasking open architecture Laptops,electronics,laptops,Xiaomi,99838,169535.62,5,161058.84,INR,13,True,False,3.6,3980,494,19.47,87x40x50 cm,new,36,Xiaomi,Nepal,2025-11-15,2026-01-24,False,False,True,True,30,"electronics,laptops,Xiaomi,on_sale,new_arrival",SKU-197736,5798687277437,SUP-4681,10,5
PROD-70482,Forever21 Sharable even-keeled throughput Womens Wear,clothing,womens_wear,Forever21,7940,14079.86,10,12671.87,INR,36,True,False,3.9,1194,211,18.45,75x27x9 cm,new,0,Forever21,Slovakia (Slovak Republic),2024-10-01,2024-11-13,False,False,True,True,30,"clothing,womens_wear,Forever21,on_sale,new_arrival",SKU-960408,8734714345585,SUP-1042,10,20
PROD-49132,PC Jeweller Configurable client-driven collaboration Watches,jewelry,watches,PC Jeweller,454645,599620.53,10,539658.48,INR,332,True,False,4.9,1555,460,4.85,59x39x31 cm,new,0,PC Jeweller,Djibouti,2024-08-02,2024-10-31,False,True,True,True,30,"jewelry,watches,PC Jeweller,on_sale,bestseller,new_arrival",SKU-504832,6231665876035,SUP-3492,10,50
PROD-14852,Godrej Operative human-resource throughput Storage,home,storage,Godrej,22257,42193.94,20,33755.15,INR,319,True,False,3.3,1274,146,15.65,43x53x44 cm,new,0,Godrej,Myanmar,2024-12-28,2025-03-24,False,False,True,True,30,"home,storage,Godrej,on_sale,new_arrival",SKU-432043,0967054668894,SUP-8994,10,100
PROD-14705,Malabar Gold Face-to-face mobile definition Rings,jewelry,rings,Malabar Gold,331910,580019.25,0,580019.25,INR,272,True,False,4.4,833,157,13.91,13x15x25 cm,new,0,Malabar Gold,Faroe Islands,2025-02-02,2025-03-19,False,False,True,True,30,"jewelry,rings,Malabar Gold,new_arrival",SKU-551607,6706562729802,SUP-3385,10,10
PROD-79621,Mattel Object-based optimizing open system Outdoor Toys,toys,outdoor_toys,Mattel,2985,4000.07,10,3600.06,INR,49,True,False,,0,0,2.95,69x91x21 cm,new,0,Mattel,Panama,2024-01-17,2024-01-18,False,False,True,True,30,"toys,outdoor_toys,Mattel,on_sale,new_arrival",SKU-401603,0162720465375,SUP-9955,10,10
PROD-19681,ITC Inverse global task-force Beverages,grocery,beverages,ITC,662,1132.78,5,1076.14,INR,39,True,False,,0,0,17.08,23x40x29 cm,new,0,ITC,Turkmenistan,2024-04-20,2024-05-27,False,False,True,True,30,"grocery,beverages,ITC,on_sale,new_arrival",SKU-123005,6464170805317,SUP-7484,10,20
PROD-11061,Titan Vision-oriented solution-oriented analyzer Rings,jewelry,rings,Titan,391684,625668.9,20,500535.12,INR,360,True,False,3.4,2063,485,14.45,94x97x13 cm,new,0,Titan,Saudi Arabia,2024-02-26,2024-05-18,True,False,True,True,30,"jewelry,rings,Titan,on_sale,new_arrival",SKU-423939,0330923271936,SUP-8222,10,5
PROD-85965,Loreal Persistent tangible extranet Makeup,beauty,makeup,Loreal,2567,3751.35,5,3563.78,INR,452,True,False,,0,0,10.66,44x31x21 cm,refurbished,0,Loreal,Seychelles,2024-07-24,2024-08-30,False,False,True,False,0,"beauty,makeup,Loreal,on_sale",SKU-943298,5299124190499,SUP-2886,10,50
PROD-19869,HomeTown Synergistic homogeneous infrastructure Kitchen,home,kitchen,HomeTown,37024,55262.76,15,46973.35,INR,1,True,True,4.5,2157,467,16.47,57x23x48 cm,new,0,HomeTown,Western Sahara,2024-03-05,2024-05-15,False,True,True,True,30,"home,kitchen,HomeTown,on_sale,bestseller,new_arrival",SKU-739717,3193149190583,SUP-4626,10,5
PROD-93283,HUL Optimized stable hub Beverages,grocery,beverages,HUL,886,1145.9,0,1145.9,INR,1,True,True,4.1,3193,608,13.44,99x79x31 cm,new,0,HUL,Bangladesh,2025-06-24,2025-08-16,True,False,True,True,30,"grocery,beverages,HUL,new_arrival",SKU-974190,8506716572623,SUP-9017,10,100
PROD-63492,Oxford Upgradable multi-state projection Fiction,books,fiction,Oxford,544,845.76,30,592.03,INR,16,True,False,,0,0,12.93,17x60x22 cm,new,0,Oxford,Faroe Islands,2025-07-27,2025-09-23,True,False,True,True,30,"books,fiction,Oxford,on_sale,new_arrival",SKU-794963,9877694531476,SUP-4475,10,100
PROD-12799,LG Fully-configurable web-enabled Local Area Network Tablets,electronics,tablets,LG,38010,69542.43,0,69542.43,INR,23,True,False,,0,0,6.64,28x86x5 cm,new,6,LG,Montenegro,2025-07-19,2025-09-26,False,False,True,True,30,"electronics,tablets,LG,new_arrival",SKU-937302,9650752735456,SUP-3858,10,5
PROD-96646,Apple Grass-roots radical standardization Laptops,electronics,laptops,Apple,98911,181203.74,0,181203.74,INR,11,True,False,3.8,941,234,9.58,56x75x42 cm,new,36,Apple,Turkmenistan,2025-04-17,2025-07-04,True,False,True,True,30,"electronics,laptops,Apple,new_arrival",SKU-862569,4808313678376,SUP-9543,10,20
PROD-70036,OnePlus Stand-alone transitional matrix Smartphones,electronics,smartphones,OnePlus,110281,169945.1,0,169945.1,INR,14,True,False,3.3,4805,1007,6.57,86x77x23 cm,new,36,OnePlus,Kiribati,2024-09-15,2024-09-27,True,False,True,True,30,"electronics,smartphones,OnePlus,new_arrival",SKU-994217,0143634957880,SUP-4522,10,50
PROD-69186,Reebok Monitored interactive synergy Yoga,sports,yoga,Reebok,15360,23331.6,15,19831.86,INR,210,True,False,3.3,3895,441,16.65,21x65x11 cm,new,0,Reebok,Mexico,2024-11-13,2024-11-29,True,False,True,True,30,"sports,yoga,Reebok,on_sale,new_arrival",SKU-714953,5574443135186,SUP-6400,10,5
PROD-63845,Garnier Virtual system-worthy contingency Fragrance,beauty,fragrance,Garnier,571,1127.56,10,1014.8,INR,345,True,False,4.0,896,152,11.17,24x45x41 cm,new,0,Garnier,Congo,2024-09-16,2024-11-26,True,False,True,True,30,"beauty,fragrance,Garnier,on_sale,new_arrival",SKU-738577,3749894134350,SUP-5381,10,5
PROD-33647,Oxford Enhanced exuding access Textbooks,books,textbooks,Oxford,818,985.6,20,788.48,INR,10,True,False,3.1,4355,622,8.45,53x30x28 cm,new,0,Oxford,Russian Federation,2025-01-01,2025-03-14,True,False,True,True,30,"books,textbooks,Oxford,on_sale,new_arrival",SKU-155164,8240084271091,SUP-3549,10,10
PROD-90981,Samsung Horizontal methodical matrices Smartwatches,electronics,smartwatches,Samsung,76330,118654.25,5,112721.54,INR,38,True,False,3.2,3531,431,13.6,85x72x38 cm,new,0,Samsung,Kazakhstan,2025-04-18,2025-06-07,True,False,True,True,30,"electronics,smartwatches,Samsung,on_sale,new_arrival",SKU-108060,5204711671909,SUP-4349,10,20
PROD-37686,Pepperfry Distributed coherent workforce Bedding,home,bedding,Pepperfry,22003,28515.61,5,27089.83,INR,21,True,False,4.0,2911,333,17.25,15x65x6 cm,new,0,Pepperfry,Mongolia,2025-01-13,2025-03-27,False,False,True,True,30,"home,bedding,Pepperfry,on_sale,new_arrival",SKU-701253,4131869993861,SUP-7626,10,50
PROD-47947,Nike Organized leadingedge framework Footwear,clothing,footwear,Nike,2960,3959.0,20,3167.2,INR,33,True,False,3.9,3290,673,7.98,49x53x19 cm,new,0,Nike,Tokelau,2025-06-10,2025-06-19,True,False,True,True,30,"clothing,footwear,Nike,on_sale,new_arrival",SKU-656379,9649909133412,SUP-9355,10,10
PROD-55793,Maybelline Diverse disintermediate conglomeration Makeup,beauty,makeup,Maybelline,992,1306.62,0,1306.62,INR,439,True,False,4.9,4057,782,11.32,84x67x48 cm,refurbished,0,Maybelline,Micronesia,2024-04-30,2024-07-21,False,True,True,False,0,"beauty,makeup,Maybelline,bestseller",SKU-757685,1206797403447,SUP-6179,10,10
PROD-67640,Forever21 Total logistical archive Footwear,clothing,footwear,Forever21,5472,7892.03,0,7892.03,INR,1,True,True,3.1,3030,807,1.63,21x88x43 cm,new,0,Forever21,Poland,2024-08-13,2024-10-26,True,False,True,True,30,"clothing,footwear,Forever21,new_arrival",SKU-571579,3493618324212,SUP-4084,10,20
PROD-89299,Britannia Centralized composite utilization Frozen,grocery,frozen,Britannia,176,274.63,15,233.44,INR,308,True,False,4.4,3609,739,12.24,56x57x23 cm,new,0,Britannia,Gambia,2024-12-18,2025-03-14,True,False,False,True,30,"grocery,frozen,Britannia,on_sale,new_arrival",SKU-927564,9947174648878,SUP-6482,10,5
PROD-53213,Gap Organic attitude-oriented policy Accessories,clothing,accessories,Gap,2627,3681.99,20,2945.59,INR,10,True,False,4.8,2551,748,14.0,60x26x43 cm,new,0,Gap,Armenia,2025-09-04,2025-10-13,False,True,True,True,30,"clothing,accessories,Gap,on_sale,bestseller,new_arrival",SKU-774751,6594013990495,SUP-6381,10,10
PROD-97833,Philips Balanced well-modulated system engine Parts,automotive,parts,Philips,33824,50379.58,5,47860.6,INR,224,True,False,3.5,1136,148,5.99,22x74x39 cm,new,36,Philips,China,2025-10-22,2026-01-14,False,False,True,True,30,"automotive,parts,Philips,on_sale,new_arrival",SKU-903531,7874296717569,SUP-3147,10,100
PROD-59377,Urban Ladder Managed fresh-thinking secured line Kitchen,home,kitchen,Urban Ladder,45906,83405.61,15,70894.77,INR,38,True,False,3.5,3648,810,15.07,67x39x39 cm,new,24,Urban Ladder,Bosnia and Herzegovina,2025-05-15,2025-07-01,False,False,True,True,30,"home,kitchen,Urban Ladder,on_sale,new_arrival",SKU-584106,2567468071549,SUP-5616,10,50
PROD-75916,3M Inverse bifurcated throughput Care,automotive,care,3M,13587,25013.77,0,25013.77,INR,13,True,False,4.9,4236,1144,5.77,30x44x33 cm,refurbished,6,3M,Iraq,2024-09-08,2024-09-19,True,True,True,False,0,"automotive,care,3M,bestseller",SKU-956375,8087603859770,SUP-8391,10,20
PROD-13495,Fisher Price Virtual actuating database Action Figures,toys,action_figures,Fisher Price,8424,12629.0,5,11997.55,INR,0,False,False,,0,0,16.8,93x52x14 cm,new,0,Fisher Price,Ethiopia,2025-02-09,2025-04-10,True,False,True,True,30,"toys,action_figures,Fisher Price,on_sale,new_arrival",SKU-895702,8247710932487,SUP-8685,10,50
PROD-90654,Apple Advanced neutral installation Smartphones,electronics,smartphones,Apple,72088,98942.5,0,98942.5,INR,10,True,False,3.6,401,59,12.82,89x68x9 cm,new,24,Apple,Bermuda,2024-03-28,2024-06-04,True,False,True,True,30,"electronics,smartphones,Apple,new_arrival",SKU-762652,3171274846773,SUP-9443,10,100
PROD-41711,HomeTown Fully-configurable logistical neural-net Bedding,home,bedding,HomeTown,602,1018.49,0,1018.49,INR,390,True,False,3.7,4319,901,15.75,74x80x6 cm,new,24,HomeTown,Cameroon,2025-10-16,2026-01-05,False,False,True,True,30,"home,bedding,HomeTown,new_arrival",SKU-491435,6398214658402,SUP-5155,10,5
PROD-56805,Zara Horizontal uniform framework Kids Wear,clothing,kids_wear,Zara,6304,10878.71,0,10878.71,INR,0,False,False,4.6,1444,384,13.73,99x71x45 cm,new,0,Zara,Taiwan,2025-07-14,2025-07-22,False,True,True,True,30,"clothing,kids_wear,Zara,bestseller,new_arrival",SKU-138780,9972787558863,SUP-5807,10,10
PROD-15741,Reebok Persevering fresh-thinking core Fitness,sports,fitness,Reebok,10660,17187.19,50,8593.59,INR,0,False,False,3.6,401,109,6.71,25x57x32 cm,refurbished,0,Reebok,Qatar,2024-09-05,2024-10-24,False,False,True,False,0,"sports,fitness,Reebok,on_sale",SKU-295892,3963605766276,SUP-9129,10,50
PROD-58148,Bosch Automated clear-thinking middleware Tools,automotive,tools,Bosch,48150,74131.73,5,70425.14,INR,44,True,False,4.3,2520,476,14.38,31x98x33 cm,new,0,Bosch,Nauru,2024-12-03,2025-02-19,False,False,True,True,30,"automotive,tools,Bosch,on_sale,new_arrival",SKU-387892,5171870262173,SUP-1939,10,5
PROD-97973,Hot Wheels Fundamental global process improvement Educational,toys,educational,Hot Wheels,13325,23983.91,0,23983.91,INR,484,True,False,3.1,560,82,12.94,56x59x41 cm,new,0,Hot Wheels,Puerto Rico,2025-06-25,2025-09-19,False,False,True,True,30,"toys,educational,Hot Wheels,new_arrival",SKU-488984,6158657809133,SUP-7095,10,50
PROD-20077,Titan Self-enabling systemic forecast Necklaces,jewelry,necklaces,Titan,193387,293644.09,10,264279.68,INR,63,True,False,3.8,4611,569,15.52,100x67x18 cm,used,0,Titan,Denmark,2025-02-10,2025-05-09,False,False,True,False,0,"jewelry,necklaces,Titan,on_sale",SKU-309902,1611724005043,SUP-3009,10,10
PROD-19706,HUL Multi-channeled holistic Internet solution Snacks,grocery,snacks,HUL,961,1919.9,15,1631.91,INR,6,True,True,4.8,1300,315,18.55,91x32x28 cm,new,0,HUL,Cameroon,2025-07-28,2025-08-22,True,True,True,True,30,"grocery,snacks,HUL,on_sale,bestseller,new_arrival",SKU-348235,3869222196932,SUP-9094,10,5
PROD-57303,Michelin Proactive optimal circuit Electronics,automotive,electronics,Michelin,31131,57372.23,10,51635.01,INR,15,True,False,,0,0,14.41,77x62x31 cm,new,0,Michelin,Djibouti,2025-07-24,2025-09-02,True,False,True,True,30,"automotive,electronics,Michelin,on_sale,new_arrival",SKU-571832,7474074821756,SUP-8632,10,100
PROD-55156,Godrej Reverse-engineered exuding productivity Storage,home,storage,Godrej,12425,22541.75,0,22541.75,INR,9,True,True,3.3,2653,761,4.59,76x46x10 cm,new,36,Godrej,Jamaica,2025-02-21,2025-03-09,False,False,True,True,30,"home,storage,Godrej,new_arrival",SKU-744274,4743671369590,SUP-9740,10,5
PROD-75873,Godrej Implemented tangible frame Storage,home,storage,Godrej,10605,14178.47,10,12760.62,INR,481,True,False,4.7,675,73,12.86,83x43x46 cm,new,36,Godrej,Angola,2024-09-29,2024-12-17,True,True,True,True,30,"home,storage,Godrej,on_sale,bestseller,new_arrival",SKU-622230,6409097439535,SUP-9938,10,20
PROD-94136,HarperCollins Sharable content-based process improvement Comics,books,comics,HarperCollins,1748,3226.6,5,3065.27,INR,8,True,True,4.0,1681,282,2.96,50x54x30 cm,new,0,HarperCollins,El Salvador,2024-11-15,2025-01-19,True,False,True,True,30,"books,comics,HarperCollins,on_sale,new_arrival",SKU-434617,2104709521458,SUP-4960,10,50
PROD-26059,HarperCollins User-friendly intangible conglomeration Comics,books,comics,HarperCollins,388,495.65,0,495.65,INR,49,True,False,,0,0,3.28,51x83x25 cm,new,0,HarperCollins,Cook Islands,2025-06-19,2025-08-21,False,False,False,True,30,"books,comics,HarperCollins,new_arrival",SKU-622987,2858842474514,SUP-6055,10,50
